status,pages,bytes,html_path,pdf_path,error
converted,5,17237,机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/005_5_-_AI___技术趋势_-_The_2025_AI_Index_Report.html,机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/005_5_-_AI___技术趋势_-_The_2025_AI_Index_Report.pdf,
converted,4,10554,机器人产品资料库_2026-06-21/01_Excel链接资料/其他资料/029_29_-_学术综述___接受度_-_Consumers_acceptance_of_service_robots_in_hotels__A_meta-analytic_re.html,机器人产品资料库_2026-06-21/01_Excel链接资料/其他资料/029_29_-_学术综述___接受度_-_Consumers_acceptance_of_service_robots_in_hotels__A_meta-analytic_re.pdf,
converted,3,10209,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/002_2_-_国际权威统计___市场_-_World_Robotics_2025_report_–_Service_Robots__Service_Robots_See_Glob.html,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/002_2_-_国际权威统计___市场_-_World_Robotics_2025_report_–_Service_Robots__Service_Robots_See_Glob.pdf,
converted,4,12265,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/004_4_-_国际权威统计___市场_-_World_Robotics_2025_report_–_Industrial_Robots__Global_Robot_Demand_.html,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/004_4_-_国际权威统计___市场_-_World_Robotics_2025_report_–_Industrial_Robots__Global_Robot_Demand_.pdf,
converted,3,7308,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/006_6_-_投资机构___人形机器人_-_Humanoid_robot__The_AI_accelerant.html,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/006_6_-_投资机构___人形机器人_-_Humanoid_robot__The_AI_accelerant.pdf,
converted,8,26982,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/007_7_-_投资机构___人形机器人_-_Humanoids__A_$5_Trillion_Market.html,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/007_7_-_投资机构___人形机器人_-_Humanoids__A_$5_Trillion_Market.pdf,
converted,1,3028,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/025_25_-_中国行业报告___养老机器人_-_2025年中国智能养老机器人行业概览：从老有所养到老有所乐，智能重构养老体验.html,机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/025_25_-_中国行业报告___养老机器人_-_2025年中国智能养老机器人行业概览：从老有所养到老有所乐，智能重构养老体验.pdf,
converted,9,25792,"机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/034_34_-_市场报告___清洁机器人_-_Cleaning_Robot_Market_Size,_Growth___Report,_2034.html","机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/034_34_-_市场报告___清洁机器人_-_Cleaning_Robot_Market_Size,_Growth___Report,_2034.pdf",
converted,21,38789,"机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/037_37_-_市场报告___协作机器人_-_Collaborative_Robots_2025–2045__Technologies,_Players,_and_Markets.html","机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/037_37_-_市场报告___协作机器人_-_Collaborative_Robots_2025–2045__Technologies,_Players,_and_Markets.pdf",
converted,1,3009,机器人产品资料库_2026-06-21/01_Excel链接资料/竞品与岗位能力/039_39_-_学术综述___安全与信任_-_A_literature_review_on_safety_perception_and_trust_during_human-ro.html,机器人产品资料库_2026-06-21/01_Excel链接资料/竞品与岗位能力/039_39_-_学术综述___安全与信任_-_A_literature_review_on_safety_perception_and_trust_during_human-ro.pdf,
