主题,英文名称,定义,关键词,相关方法,应用场景,设计机会
人机机器人交互,Human-Robot Interaction,研究人与机器人在物理、认知、社会和组织层面的相互作用。,"HRI, role allocation, trust, safety, cooperation",literature review; controlled experiment; field study; Wizard-of-Oz,服务、医疗、工厂、公共空间,HRI 知识图谱与设计机会地图
人机交互,Human-Computer Interaction,研究人与计算系统的交互体验、可用性、意义建构和社会影响。,"usability, UX, interaction design, HCI methods",user research; usability testing; prototyping,界面、系统、服务、智能代理,HCI-to-HRI 方法转译矩阵
具身交互,Embodied Interaction,把行动、身体、材料和情境视为交互意义生成的组成部分。,"embodiment, situated action, affordance, tangible interaction",theory review; observational study; RtD,移动机器人、协作机械臂、康复机器人,具身状态表达系统
具身智能,Embodied AI,智能体通过身体、感知和行动在真实或模拟环境中学习与推理。,"VLA, grounding, affordance, perception-action loop",paper review; prototype; simulation,家庭助理、实验室机器人、移动操作,LLM-robot 中间层交互设计
社交机器人,Social Robotics,关注机器人作为社会互动对象时的表达、人格、规范、关系和接受度。,"social presence, anthropomorphism, emotion, robotiquette",questionnaire; Wizard-of-Oz; longitudinal study,陪护、教育、导览、娱乐,社交机器人性格与边界设计
服务机器人,Service Robots,在酒店、医疗、家庭、零售、公共服务等场景中执行服务任务的机器人。,"service blueprint, delivery, guidance, recovery",case study; field observation; service blueprint,酒店配送、医院物流、机场导览,酒店机器人服务蓝图
协作机器人,Collaborative Robots,与人共享工作空间并协同完成任务的机器人系统。,"cobot, shared workspace, handover, safety",risk analysis; controlled experiment; ergonomic study,工业装配、实验室自动化、物流分拣,协作机械臂意图提示系统
机器人自主性,Robot Autonomy,机器人从人工控制到完全自主之间的能力、权限和责任分配。,"levels of autonomy, supervisory control, agency",taxonomy; experiment; scenario analysis,远程巡检、配送、医疗辅助、工厂,自主性等级体验对比研究
共享自主性,Shared Autonomy,人和机器人共同控制任务，系统在必要处辅助、补全或约束人类操作。,"human-in-the-loop, assistance, intent inference",prototype testing; teleoperation experiment,轮椅、机械臂、远程操作、救援,共享自主控制体验设计
远程操作,Teleoperation,人通过远程界面控制或监督机器人在异地执行任务。,"remote control, latency, feedback, situation awareness",simulation; controlled experiment; workload study,救援、医疗、巡检、空间机器人,远程巡检多模态反馈界面
多模态交互,Multimodal Interaction,组合语音、视觉、手势、触觉、实体和空间界面进行输入输出。,"voice, gesture, gaze, haptic, visual feedback",usability testing; comparative study,公共空间、医疗、工业、家庭,低负荷多模态机器人控制系统
语音交互,Voice Interaction,使用自然语言或语音命令与机器人沟通。,"speech command, dialogue repair, natural language",dialogue prototyping; Wizard-of-Oz,家庭、酒店、护理、导览,机器人澄清对话设计
手势交互,Gesture Interaction,使用手势、身体动作或指向来传达命令、注意方向和空间意图。,"pointing, gesture recognition, body language",field observation; recognition test,导览、协作装配、家庭服务,服务机器人手势引导体验
视线交互,Gaze Interaction,通过注视方向、眼动或共同注意建立交互意图。,"gaze cue, joint attention, attention management",lab study; behavioral coding,陪护、教育、导览,视线提示与共同注意原型
触觉交互,Haptic Interaction,通过力、震动、接触或触觉设备传达状态和控制反馈。,"force feedback, vibration, contact, comfort",prototype test; workload measure,康复、手术、远程操作,触觉式机器人状态反馈
实体交互,Tangible Interaction,通过可触摸物件、空间布局和物理控制器与系统交互。,"tangible UI, physical tokens, affordance",RtD; usability test,教育、家庭、协作任务,实体化机器人任务编排工具
MR Interfaces for Robotics,AR,用增强或混合现实显示机器人路径、意图、状态、风险区和任务信息。,"VAM-HRI, virtual design elements, path, safety zone",comparative study; prototype testing,协作工位、公共空间、远程巡检,AR 机器人路径与意图可视化
信任与可解释性,Trust and Explainability,关注人对机器人能力、意图、风险和决策过程的理解与适当依赖。,"trust calibration, transparency, explanation, reliance",questionnaire; behavioral measures; experiment,医疗、驾驶、服务、工业,信任校准界面
安全与可预测性,Safety and Predictability,关注物理安全、心理安全、运动可预测性、风险沟通和标准合规。,"safety, predictability, risk, legible motion",risk assessment; experiment; standards mapping,工业协作、公共空间、医疗,安全区与可预测运动设计
机器人性格与情感表达,Robot Personality and Emotion,机器人通过声音、表情、动作、语言风格和节奏传达社会线索。,"personality, emotion, affect, social cues",Wizard-of-Oz; questionnaire; longitudinal study,陪护、教育、酒店、导览,可调人格服务机器人
人、AI 与机器人协作,Human-AI-Robot Collaboration,人、AI agent 和机器人共同完成任务，AI 可能成为解释、规划和协商中间层。,"LLM agent, planner, mediator, shared control",scenario prototyping; task simulation,家庭、办公、实验室、服务,LLM 机器人任务协商系统
面向机器人的设计研究,Design Research for Robotics,用设计研究方法把机器人技术、用户场景和社会意义转化为知识与原型。,"RtD, service design, case study, prototyping",RtD; case study; participatory design,服务、公共空间、医疗、教育,机器人设计研究作品集系统
HRI 评估方法,Evaluation Methods in HRI,面向 HRI 原型和系统的可用性、信任、安全、负荷、接受度和长期影响评估。,"metrics, questionnaire, behavioral data, field study",controlled experiment; usability testing; longitudinal study,所有 HRI 项目,HRI 评估指标选择器
伦理、隐私与社会影响,"Ethics, Privacy, and Social Impact",关注机器人采集数据、参与劳动、影响关系和介入脆弱场景时的社会后果。,"privacy, consent, accountability, bias, access",ethics review; stakeholder mapping; speculative design,医疗、养老、家庭、公共空间、工作场所,机器人伦理交互审计
