status,source_type,category,title,url,saved_path,error,snapshot_note
"downloaded","excel","企业与产品资料","1 - 国际权威统计 / 市场 - Executive Summary World Robotics 2025 – Service Robots","https://ifr.org/img/worldrobotics/Executive_Summary_WR_2025_Service_Robots.pdf","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/001_1_-_国际权威统计___市场_-_Executive_Summary_World_Robotics_2025_–_Service_Robots.pdf","",""
"snapshot_saved","excel","企业与产品资料","10 - 咨询公司 / 管理视角 - The CEO's Guide to Physical AI","https://www.bcg.com/publications/2026/the-ceos-guide-to-physical-ai","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/03_下载受限网页快照/001_10_-_咨询公司___管理视角_-_The_CEO's_Guide_to_Physical_AI.md","","原站下载受限，已保存 r.jina.ai 公开网页 Markdown 快照。"
"snapshot_saved","excel","企业与产品资料","11 - 咨询公司 / 市场 - Robotics Outlook 2030: How Intelligence and Mobility Will Shape the Future of the Robotics Industry","https://www.bcg.com/publications/2021/how-intelligence-and-mobility-will-shape-the-future-of-the-robotics-industry","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/03_下载受限网页快照/002_11_-_咨询公司___市场_-_Robotics_Outlook_2030__How_Intelligence_and_Mobility_Will_Shape_the_Futur.md","","原站下载受限，已保存 r.jina.ai 公开网页 Markdown 快照。"
"downloaded","excel","企业与产品资料","12 - 技术路线图 / 综合 - Global Robotics Technology Roadmap 2025–2035","https://hichristensen.com/pdf/global_robotics_roadmap_2025.pdf","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/012_12_-_技术路线图___综合_-_Global_Robotics_Technology_Roadmap_2025–2035.pdf","",""
"downloaded","excel","企业与产品资料","13 - 中国机构 / 人形机器人 - 人形机器人产业发展研究报告（2024 年）","https://pdf.dfcfw.com/pdf/H3_AP202501051641811533_1.pdf?1736087870000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/013_13_-_中国机构___人形机器人_-_人形机器人产业发展研究报告（2024_年）.pdf","",""
"downloaded","excel","企业与产品资料","14 - 中国行业报告 / 人形机器人 - 2025年人形机器人产业发展蓝皮书","https://pdf.dfcfw.com/pdf/H3_AP202412271641446309_1.pdf?1735315622000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/014_14_-_中国行业报告___人形机器人_-_2025年人形机器人产业发展蓝皮书.pdf","",""
"downloaded","excel","市场与行业报告","15 - 中国行业报告 / 厂商图谱 - 2025年中国人形机器人厂商全景报告","https://pdf.dfcfw.com/pdf/H3_AP202505081669547229_1.pdf?1746733814000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/015_15_-_中国行业报告___厂商图谱_-_2025年中国人形机器人厂商全景报告.pdf","",""
"downloaded","excel","企业与产品资料","16 - 中国调研简报 / 人形机器人 - 中国人形机器人行业调研简报 | 2025/02","https://pdf.dfcfw.com/pdf/H3_AP202503201645173273_1.pdf","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/016_16_-_中国调研简报___人形机器人_-_中国人形机器人行业调研简报___2025_02.pdf","",""
"downloaded","excel","企业与产品资料","17 - 中国调研简报 / 人形机器人零部件 - 中国人形机器人行业调研简报 | 2025/05","https://pdf.dfcfw.com/pdf/H3_AP202507101706472206_1.pdf?1752177236000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/017_17_-_中国调研简报___人形机器人零部件_-_中国人形机器人行业调研简报___2025_05.pdf","",""
"downloaded","excel","企业与产品资料","18 - 中国行业报告 / 智能机器人 - 智能机器人产业研究报告2025","https://iappicon.jiguang.cn/pdf/%E6%9E%81%E5%85%89%E6%9C%88%E7%8B%90%E4%B8%A8%E6%99%BA%E8%83%BD%E6%9C%BA%E5%99%A8%E4%BA%BA%E4%BA%A7%E4%B8%9A%E7%A0%94%E7%A9%B6%E6%8A%A5%E5%91%8A2025.pdf","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/018_18_-_中国行业报告___智能机器人_-_智能机器人产业研究报告2025.pdf","",""
"downloaded","excel","市场与行业报告","19 - 中国行业报告 / 深度 - 2026 年智能机器人行业深度分析报告","https://pdf.dfcfw.com/pdf/H3_AP202605071822028328_1.pdf?1778171901000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/019_19_-_中国行业报告___深度_-_2026_年智能机器人行业深度分析报告.pdf","",""
"downloaded","excel","市场与行业报告","2 - 国际权威统计 / 市场 - World Robotics 2025 report – Service Robots: Service Robots See Global Growth Boom","https://ifr.org/ifr-press-releases/news/service-robots-see-global-growth-boom","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/002_2_-_国际权威统计___市场_-_World_Robotics_2025_report_–_Service_Robots__Service_Robots_See_Glob.html","",""
"downloaded","excel","企业与产品资料","20 - 券商跟踪 / 具身智能 - 机器人行业研究：人形迈向量产拐点，国内本体产销领跑","https://pdf.dfcfw.com/pdf/H3_AP202604071821036918_1.pdf","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/020_20_-_券商跟踪___具身智能_-_机器人行业研究：人形迈向量产拐点，国内本体产销领跑.pdf","",""
"downloaded","excel","企业与产品资料","21 - 中国调研简报 / 消费机器人 - 中国机器人行业调研简报 | 2025/05","https://pdf.dfcfw.com/pdf/H3_AP202508181729933240_1.pdf?1755546294000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/021_21_-_中国调研简报___消费机器人_-_中国机器人行业调研简报___2025_05.pdf","",""
"downloaded","excel","市场与行业报告","22 - 中国调研简报 / 陪伴机器人 - 中国陪伴机器人行业调研简报","https://pdf.dfcfw.com/pdf/H3_AP202511171783151588_1.pdf?1763410009000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/022_22_-_中国调研简报___陪伴机器人_-_中国陪伴机器人行业调研简报.pdf","",""
"downloaded","excel","企业与产品资料","23 - 中国调研简报 / AI 陪伴 - 简报 | 2025/09 AI陪伴","https://pdf.dfcfw.com/pdf/H3_AP202601161817860144_1.pdf","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/023_23_-_中国调研简报___AI_陪伴_-_简报___2025_09_AI陪伴.pdf","",""
"downloaded","excel","市场与行业报告","24 - 中国调研洞察 / 养老机器人 - 中国机器人行业调研洞察 | 2025/04","https://pdf.dfcfw.com/pdf/H3_AP202506271698683038_1.pdf?1751053303000.pdf=","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/024_24_-_中国调研洞察___养老机器人_-_中国机器人行业调研洞察___2025_04.pdf","",""
"downloaded","excel","市场与行业报告","25 - 中国行业报告 / 养老机器人 - 2025年中国智能养老机器人行业概览：从老有所养到老有所乐，智能重构养老体验","https://www.leadleo.com/report/details/685a4a94be52016397bbd02c","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/市场与行业报告/025_25_-_中国行业报告___养老机器人_-_2025年中国智能养老机器人行业概览：从老有所养到老有所乐，智能重构养老体验.html","",""
"downloaded","excel","企业与产品资料","26 - 学术 / 酒店服务机器人 - 酒店服务机器人拟人化对顾客服务满意度的影响分析","https://pdf.hanspub.org/mm20241412_361123029.pdf","/Users/sampuichan/Documents/New project/机器人产品资料库_2026-06-21/01_Excel链接资料/企业与产品资料/026_26_-_学术___酒店服务机器人_-_酒店服务机器人拟人化对顾客服务满意度的影响分析.pdf","",""
