Theme,Definition,Keywords,Disciplines,Questions,Methods,Design Relevance,Scenarios
Human-Robot Interaction / 人机机器人交互,研究人与机器人在物理、认知、社会和组织层面的相互作用。,"HRI, role allocation, trust, safety, cooperation",Robotics; HCI; Human Factors; AI; Design Research,人如何理解机器人能力和边界？机器人何时应主动、何时应等待？,literature review; controlled experiment; field study; Wizard-of-Oz,把机器人从工程对象转成可共同工作的交互对象。,服务、医疗、工厂、公共空间
Human-Computer Interaction / 人机交互,研究人与计算系统的交互体验、可用性、意义建构和社会影响。,"usability, UX, interaction design, HCI methods",Computer Science; Design; Psychology,HCI 方法如何迁移到有身体和物理风险的机器人？,user research; usability testing; prototyping,为 HRI 提供用户研究、信息架构和实验设计基础。,界面、系统、服务、智能代理
Embodied Interaction / 具身交互,把行动、身体、材料和情境视为交互意义生成的组成部分。,"embodiment, situated action, affordance, tangible interaction",HCI; Cognitive Science; Design Theory,机器人身体和运动如何参与用户理解？,theory review; observational study; RtD,提示设计者关注路径、距离、姿态、接触和环境布置。,移动机器人、协作机械臂、康复机器人
Embodied AI / 具身智能,智能体通过身体、感知和行动在真实或模拟环境中学习与推理。,"VLA, grounding, affordance, perception-action loop",AI; Robotics; Cognitive Science,大模型如何连接语言、感知和动作？,paper review; prototype; simulation,让智能交互设计从对话框转向环境中的行动协商。,家庭助理、实验室机器人、移动操作
Social Robotics / 社交机器人,关注机器人作为社会互动对象时的表达、人格、规范、关系和接受度。,"social presence, anthropomorphism, emotion, robotiquette",Robotics; Social Psychology; HCI,怎样避免过度拟人化和错误期待？,questionnaire; Wizard-of-Oz; longitudinal study,帮助设计情感表达、人格边界和长期关系。,陪护、教育、导览、娱乐
Service Robots / 服务机器人,在酒店、医疗、家庭、零售、公共服务等场景中执行服务任务的机器人。,"service blueprint, delivery, guidance, recovery",Service Design; HRI; Operations,服务失败时机器人如何补救和解释？,case study; field observation; service blueprint,连接服务流程、用户情绪和机器人任务能力。,酒店配送、医院物流、机场导览
Collaborative Robots / 协作机器人,与人共享工作空间并协同完成任务的机器人系统。,"cobot, shared workspace, handover, safety",Industrial Robotics; Human Factors; Ergonomics,安全约束如何影响直觉界面和效率？,risk analysis; controlled experiment; ergonomic study,把安全、可预测运动和角色分配转成设计变量。,工业装配、实验室自动化、物流分拣
Robot Autonomy / 机器人自主性,机器人从人工控制到完全自主之间的能力、权限和责任分配。,"levels of autonomy, supervisory control, agency",Automation; Robotics; Human Factors,自主性提高是否总是提升体验？,taxonomy; experiment; scenario analysis,帮助设计控制权、接管机制和责任边界。,远程巡检、配送、医疗辅助、工厂
Shared Autonomy / 共享自主性,人和机器人共同控制任务，系统在必要处辅助、补全或约束人类操作。,"human-in-the-loop, assistance, intent inference",Robotics; AI; HCI,系统如何辅助而不剥夺控制感？,prototype testing; teleoperation experiment,适合处理不确定场景中的责任分配和控制权转移。,轮椅、机械臂、远程操作、救援
Teleoperation / 远程操作,人通过远程界面控制或监督机器人在异地执行任务。,"remote control, latency, feedback, situation awareness",Robotics; Human Factors; XR,远程操作者如何建立情境感知？,simulation; controlled experiment; workload study,强调感知反馈、延迟补偿和空间理解。,救援、医疗、巡检、空间机器人
Multimodal Interaction / 多模态交互,组合语音、视觉、手势、触觉、实体和空间界面进行输入输出。,"voice, gesture, gaze, haptic, visual feedback",HCI; HRI; Cognitive Psychology,哪些模态组合能降低认知负荷而非增加复杂度？,usability testing; comparative study,适合为不同场景选择低负荷、高可理解的交互通道。,公共空间、医疗、工业、家庭
Voice Interaction / 语音交互,使用自然语言或语音命令与机器人沟通。,"speech command, dialogue repair, natural language",HCI; NLP; Robotics,机器人听不懂时如何澄清？,dialogue prototyping; Wizard-of-Oz,适合表达目标，但需要处理噪声、歧义和隐私。,家庭、酒店、护理、导览
Gesture Interaction / 手势交互,使用手势、身体动作或指向来传达命令、注意方向和空间意图。,"pointing, gesture recognition, body language",HCI; Computer Vision; HRI,用户手势在动态公共空间中是否可靠？,field observation; recognition test,适合近距离、嘈杂或空间目标明确的交互。,导览、协作装配、家庭服务
Gaze Interaction / 视线交互,通过注视方向、眼动或共同注意建立交互意图。,"gaze cue, joint attention, attention management",Psychology; HCI; HRI,机器人视线如何提示注意而不令人不适？,lab study; behavioral coding,适合社交机器人、导览和辅助情境。,陪护、教育、导览
Haptic Interaction / 触觉交互,通过力、震动、接触或触觉设备传达状态和控制反馈。,"force feedback, vibration, contact, comfort",Haptics; Robotics; Ergonomics,触觉反馈何时增强安全感，何时造成干扰？,prototype test; workload measure,适合远程操作、康复、协作机械臂。,康复、手术、远程操作
Tangible Interaction / 实体交互,通过可触摸物件、空间布局和物理控制器与系统交互。,"tangible UI, physical tokens, affordance",HCI; Industrial Design; Embodied Interaction,实体控制是否帮助用户理解机器人任务边界？,RtD; usability test,把机器人控制从屏幕转为空间和物理操作。,教育、家庭、协作任务
AR/MR Interfaces for Robotics / 面向机器人的 AR/MR 界面,用增强或混合现实显示机器人路径、意图、状态、风险区和任务信息。,"VAM-HRI, virtual design elements, path, safety zone",XR; HRI; Visualization,AR 提示能否提高意图理解并避免过度遮挡？,comparative study; prototype testing,适合把不可见的机器人计划和传感状态转为可见线索。,协作工位、公共空间、远程巡检
