方法名称,英文名称,定义,适用阶段,优点,局限,适合项目
文献综述,Literature Review,汇总并解释现有研究，用于建立概念、问题和证据基础。,前期定义范围,快速形成领域地图,可能不够系统,知识图谱初始构建
系统综述,Systematic Review,用明确检索式、筛选标准和记录流程综合证据。,研究问题明确后,可复现、可信度高,耗时，范围需要收窄,投稿或毕业论文
分类法构建,Taxonomy Building,把概念、案例或界面元素按维度归类。,图谱建模,便于组织复杂领域,容易过度简化,AR/MR HRI 分类
用户访谈,User Interview,收集用户经验、期待和痛点。,发现问题,获得深层解释,依赖样本和访谈能力,服务机器人用户研究
情境访查,Contextual Inquiry,在真实使用环境中观察并询问。,场景研究,连接流程和环境约束,进入现场困难,医院/酒店服务流程
现场观察,Field Observation,记录真实行为、空间和社会规范。,场景定义,发现隐性规则,难以控制变量,公共空间机器人
参与式设计,Participatory Design,让用户和利益相关者参与构思与评估。,概念生成,提高接受度和贴合度,协调成本高,医疗/养老机器人
共同设计,Co-design,设计者、用户、技术人员共同探索方案。,概念与原型,促进跨学科对齐,产出可能发散,HRI 设计工作坊
绿野仙踪原型,Wizard-of-Oz,由人隐藏控制系统来模拟机器人智能。,早期 HRI 原型,低成本验证交互,容易高估真实系统能力,语音/社交机器人
原型测试,Prototype Testing,用低/中/高保真原型评估概念。,迭代阶段,快速获得反馈,生态效度有限,AR 路径提示
可用性测试,Usability Testing,测量任务完成、错误、理解和满意度。,界面验证,直接可操作,不足以覆盖长期信任,机器人控制界面
控制实验,Controlled Experiment,操纵变量并测量因果影响。,验证假设,因果证据强,真实场景复杂性不足,解释粒度对信任影响
长期研究,Longitudinal Study,观察用户和机器人长期共处与习惯形成。,部署后,理解关系和采纳,成本高、变量多,家庭/养老机器人
通过设计进行研究,Research through Design,通过创造和反思设计产物生成知识。,探索性研究,适合开放问题,评价标准需清晰,作品集/CHI pictorial
思辨设计,Speculative Design,用未来情境引发讨论和价值判断。,伦理与未来研究,揭示社会后果,不直接验证可用性,机器人伦理边界
设计虚构,Design Fiction,用故事、道具和场景表达未来系统。,概念探索,适合复杂社会技术系统,可能被误读为概念宣传,LLM 机器人未来服务
案例研究,Case Study,深入分析一个或多个真实案例。,中期分析,保留情境复杂性,泛化有限,酒店机器人服务案例
比较研究,Comparative Study,比较不同界面、模态或自主等级。,方案选择,利于设计决策,需要控制条件,语音 vs AR 指令
服务蓝图,Service Blueprinting,绘制用户、前台、后台和支持系统。,服务机器人设计,连接流程和组织,需要现场资料,酒店/医院机器人
知识图谱建模,Knowledge Graph Modeling,把概念、证据、机会和问题结构化为节点关系。,知识库建设,适合 LLM 复用,维护成本高,GraphRAG 研究助手
