场景,机器人类型,用户群体,核心任务,交互问题,设计机会
酒店配送,Service Robot,住客、前台、保洁,送物、引导、通知,服务失败、路径干扰、语气边界,失败恢复与服务蓝图
医院导诊,Service Robot,患者、家属、护士,导航、排队、说明,焦虑、隐私、无障碍,低负荷引导与交接
康复训练,Rehabilitation Robot,患者、治疗师,动作训练、反馈,安全、动力、长期坚持,触觉/视觉反馈
家庭陪伴,Social Robot,儿童、老人、家庭成员,提醒、陪伴、轻服务,隐私、情感依赖、角色边界,人格边界和同意机制
工业装配,Cobot,操作员、工程师,协同装配、递送工具,安全区、意图、节拍,AR 路径与角色分配
实验室自动化,Mobile Manipulator,研究员、技术员,样品搬运、仪器操作,错误成本、责任、追踪,可解释任务日志
公共空间清洁,Service Robot,路人、保洁、管理者,清扫、避让、警示,社会规范、拥挤、误解,robotiquette 与状态表达
博物馆导览,Social Robot,游客、儿童、馆员,讲解、引导、问答,注意力、群体互动,gaze 与路径提示
机场问询,Service Robot,旅客、工作人员,问询、路线、语言支持,多语言、焦虑、拥堵,多模态导引
远程巡检,Telepresence Robot,操作员、现场人员,巡检、确认、记录,情境感知、延迟,远程操作反馈
餐饮送餐,Service Robot,顾客、服务员,配送、取餐、避让,路线拥堵、礼貌,状态灯与语音边界
商场导购,Service Robot,消费者、店员,推荐、导航、促销,打扰、隐私、可信度,可拒绝的主动交互
学校教育,Social Robot,学生、教师,教学辅助、互动,注意力、权威、数据,教育机器人角色设计
仓储分拣,Mobile Robot,工人、调度员,搬运、协作,安全、预测、效率,可预测路径和调度界面
养老机构,Assistive Robot,老人、护理员、家属,提醒、陪伴、护理支持,依赖、接受度、隐私,长期关系与护理流程
智能家居,Home Robot,家庭成员,清洁、巡逻、提醒,共享空间、信任,家庭机器人行为规范
农业机器人,Field Robot,农户、技术员,巡田、采摘、喷洒,环境不确定、解释,低技术门槛控制
建筑工地,Mobile Robot,工人、管理者,巡检、搬运,高风险、动态环境,安全可视化
灾害救援,Teleoperation Robot,救援人员,搜索、探测、传递信息,延迟、压力、负荷,高压情境感知界面
零售库存,Mobile Robot,店员、顾客,盘点、导航,顾客干扰、可见性,公共空间机器人礼仪
